@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.Remove-R6-45-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst'

@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric

@data
2010,52,98.333333,100,46.153846
2010,88,98.333333,100,69.230769
2010,64,98.333333,100,84.615385
2010,76,98.333333,100,61.538462
2010,72,98.333333,100,61.538462
2010,60,85,93.877551,46.153846
2010,72,85,93.877551,69.230769
2010,44,40,37.414966,46.153846
2010,44,11.666667,8.163265,15.384615
2010,52,98.333333,100,46.153846
2010,76,98.333333,100,84.615385
2010,68,98.333333,100,61.538462
2010,56,33.333333,30.612245,23.076923
2010,80,80,81.632653,53.846154
2010,56,98.333333,100,61.538462
2010,68,21.666667,16.326531,53.846154
2010,68,73.333333,79.591837,38.461538
2010,84,98.333333,100,76.923077
2010,68,98.333333,100,61.538462
2010,36,10,4.081633,30.769231
2010,72,98.333333,100,76.923077
2010,64,36.666667,36.734694,38.461538
2010,40,95,100,46.153846
2010,80,11.666667,8.163265,69.230769
2010,60,0,0,0
2010,48,41.666667,44.897959,15.384615
2010,60,15,12.244898,46.153846
2010,40,33.333333,32.653061,15.384615
2010,56,21.666667,16.326531,46.153846
2010,72,18.333333,0,92.307692
2011,72,98.333333,100,53.846154
2011,56,5,0,69.230769
2011,68,98.333333,100,30.769231
2011,48,13.333333,8.163265,30.769231
2011,76,93.333333,100,53.846154
2011,56,43.888889,42.176871,53.846154
2011,68,31.666667,30.612245,38.461538
2011,52,96.666667,100,53.846154
2011,64,85,93.877551,38.461538
2011,0,43.333333,42.857143,38.461538
2011,80,0,0,0
2011,64,13.333333,8.163265,38.461538
2011,80,18.333333,16.326531,61.538462
2011,68,98.333333,100,46.153846
2011,76,98.333333,100,53.846154
2011,44,98.333333,100,61.538462
2011,56,98.333333,100,30.769231
2011,52,98.333333,100,38.461538
2011,52,78.333333,87.755102,30.769231
2011,56,20,18.367347,38.461538
2011,68,73.333333,79.591837,30.769231
2011,76,33.333333,32.653061,61.538462
2011,68,98.333333,100,38.461538
2011,56,98.333333,100,30.769231
2011,48,98.333333,100,61.538462
2011,52,6.666667,0,15.384615
2011,28,0,0,0
2011,24,0,0,0
2011,56,33.333333,32.653061,38.461538
2011,68,98.333333,100,38.461538
2011,48,98.333333,100,30.769231
2011,64,98.333333,100,53.846154
2011,68,90,100,30.769231
2011,48,5,0,69.230769
2011,72,11.666667,8.163265,30.769231
2011,64,45,46.938776,46.153846
2011,48,45,48.979592,53.846154
2011,48,0,0,0
2012,28,0,0,0
2012,44,98.333333,100,61.538462
2012,48,78.333333,85.714286,38.461538
2012,52,81.666667,91.836735,53.846154
2012,44,98.333333,100,53.846154
2012,56,18.333333,16.326531,84.615385
2012,84,98.333333,100,69.230769
2012,64,98.333333,100,69.230769
2012,64,90,100,61.538462
2012,64,98.333333,100,61.538462
2012,48,18.333333,16.326531,38.461538
2012,56,98.333333,100,61.538462
2012,36,0,0,0
2012,72,13.333333,8.163265,76.923077
2012,80,96.666667,100,61.538462
2012,52,98.333333,100,53.846154
2012,40,78.333333,85.714286,38.461538
2012,64,11.666667,8.163265,38.461538
2012,64,96.666667,100,38.461538
2012,56,28.333333,24.489796,30.769231
2012,52,98.333333,100,46.153846
2012,48,98.333333,100,76.923077
2012,40,0,0,0
2012,80,71.666667,77.55102,61.538462
2012,48,63.333333,71.428571,76.923077
2012,44,20,16.326531,30.769231
2012,76,98.333333,100,84.615385
2012,48,43.333333,44.897959,38.461538
2012,52,81.666667,89.795918,38.461538
2012,68,98.333333,100,46.153846
2012,52,98.333333,100,61.538462
2012,64,98.333333,100,61.538462
2012,96,98.333333,100,92.307692
2012,60,98.333333,100,69.230769
2012,64,16.666667,14.285714,53.846154
2012,60,98.333333,100,46.153846
2012,36,100,100,46.153846
2012,44,0,0,0
2012,52,98.333333,100,76.923077
2012,48,98.333333,100,53.846154
2012,84,11.666667,8.163265,53.846154
2012,56,73.333333,79.591837,38.461538
2012,40,56.666667,61.22449,38.461538
2012,52,90,100,38.461538
2012,44,98.333333,100,69.230769
2012,64,88.333333,100,46.153846
2012,72,98.333333,100,53.846154
2012,52,86.666667,93.877551,30.769231
2012,52,13.333333,8.163265,69.230769
2012,52,98.333333,100,61.538462
2012,72,25,14.285714,15.384615
2012,64,71.666667,75.510204,38.461538
2012,40,98.333333,100,61.538462
2012,68,0,0,0
2012,68,81.666667,89.795918,46.153846
2012,64,98.333333,100,61.538462
2012,24,0,0,0
2012,60,98.333333,100,53.846154
2012,32,98.333333,100,46.153846
2013,76,98.333333,100,84.615385
2013,60,81.666667,85.714286,61.538462
2013,56,11.666667,6.122449,69.230769
2013,72,55,59.183673,53.846154
2013,68,73.333333,81.632653,76.923077
2013,52,76.666667,85.714286,46.153846
2013,52,36.666667,34.693878,30.769231
2013,48,98.333333,100,61.538462
2013,48,86.666667,95.918367,53.846154
2013,68,71.666667,81.632653,38.461538
2013,52,53.333333,57.142857,38.461538
2013,68,70,79.591837,46.153846
2013,40,6.666667,0,38.461538
2013,72,65,71.428571,46.153846
