@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.Remove-R6-45-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst_clustered'

@attribute Instance_number numeric
@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
121,2012,68,0,0,0,cluster2
122,2012,68,81.666667,89.795918,46.153846,cluster0
123,2012,64,98.333333,100,61.538462,cluster0
124,2012,24,0,0,0,cluster2
125,2012,60,98.333333,100,53.846154,cluster0
126,2012,32,98.333333,100,46.153846,cluster0
127,2013,76,98.333333,100,84.615385,cluster0
128,2013,60,81.666667,85.714286,61.538462,cluster0
129,2013,56,11.666667,6.122449,69.230769,cluster2
130,2013,72,55,59.183673,53.846154,cluster1
131,2013,68,73.333333,81.632653,76.923077,cluster0
132,2013,52,76.666667,85.714286,46.153846,cluster0
133,2013,52,36.666667,34.693878,30.769231,cluster1
134,2013,48,98.333333,100,61.538462,cluster0
135,2013,48,86.666667,95.918367,53.846154,cluster0
136,2013,68,71.666667,81.632653,38.461538,cluster0
137,2013,52,53.333333,57.142857,38.461538,cluster1
138,2013,68,70,79.591837,46.153846,cluster0
139,2013,40,6.666667,0,38.461538,cluster2
140,2013,72,65,71.428571,46.153846,cluster1
141,2013,60,51.666667,55.102041,53.846154,cluster1
142,2013,72,93.333333,95.918367,69.230769,cluster0
143,2013,28,0,0,0,cluster2
144,2013,52,81.666667,89.795918,61.538462,cluster0
145,2013,64,36.666667,36.734694,46.153846,cluster1
146,2013,60,25,22.44898,30.769231,cluster2
147,2013,52,0,0,0,cluster2
148,2013,36,51.666667,57.142857,38.461538,cluster1
149,2013,44,0,0,0,cluster2
150,2013,64,85,93.877551,69.230769,cluster0
151,2013,44,10,6.122449,30.769231,cluster2
152,2013,72,43.333333,44.897959,46.153846,cluster1
153,2013,64,56.666667,57.142857,46.153846,cluster1
154,2013,80,96.666667,100,69.230769,cluster0
155,2013,84,98.333333,100,92.307692,cluster0
156,2013,20,15,12.244898,23.076923,cluster2
157,2013,48,18.333333,14.285714,30.769231,cluster2
158,2013,16,5,0,15.384615,cluster2
159,2013,100,98.333333,100,100,cluster0
160,2013,72,96.666667,100,69.230769,cluster0
161,2013,60,75,83.673469,46.153846,cluster0
162,2013,44,80,89.795918,61.538462,cluster0
163,2013,56,70,75.510204,61.538462,cluster0
164,2013,60,6.666667,0,69.230769,cluster2
165,2013,52,51.666667,55.102041,46.153846,cluster1
166,2013,64,96.666667,100,69.230769,cluster0
167,2013,84,83.333333,85.714286,61.538462,cluster0
168,2013,32,20,16.326531,46.153846,cluster2
169,2013,60,0,0,0,cluster2
170,2013,72,45,46.938776,53.846154,cluster1
171,2013,36,8.333333,4.081633,15.384615,cluster2
172,2013,52,0,0,0,cluster2
173,2013,40,75,81.632653,46.153846,cluster0
174,2013,48,6.666667,0,0,cluster2
175,2013,36,41.666667,42.857143,38.461538,cluster1
176,2013,40,0,0,0,cluster2
177,2013,32,66.666667,71.428571,38.461538,cluster1
178,2013,44,81.666667,89.795918,61.538462,cluster0
179,2013,68,98.333333,100,53.846154,cluster0
180,2013,80,93.333333,95.918367,53.846154,cluster0
181,2013,72,81.666667,89.795918,61.538462,cluster0
182,2013,76,51.666667,55.102041,92.307692,cluster1
183,2013,48,0,0,0,cluster2
184,2013,48,6.666667,0,69.230769,cluster2
185,2013,96,33.333333,34.693878,46.153846,cluster1
186,2013,60,81.666667,89.795918,53.846154,cluster0
187,2013,48,25,22.44898,38.461538,cluster2
188,2013,72,38.333333,38.77551,53.846154,cluster1
189,2013,52,0,0,0,cluster2
190,2013,56,0,0,0,cluster2
191,2013,48,75,83.673469,53.846154,cluster0
192,2013,52,63.333333,69.387755,38.461538,cluster1
193,2013,32,16.666667,12.244898,23.076923,cluster2
194,2013,24,6.666667,0,23.076923,cluster2
195,2013,48,56.666667,63.265306,46.153846,cluster1
196,2013,84,5,0,46.153846,cluster2
197,2013,48,5,0,53.846154,cluster2
198,2013,44,30,28.571429,38.461538,cluster2
199,2013,84,86.666667,95.918367,53.846154,cluster0
200,2013,96,98.333333,100,84.615385,cluster0
201,2013,64,35,34.693878,53.846154,cluster1
202,2013,80,50,53.061224,46.153846,cluster1
203,2013,68,81.666667,89.795918,53.846154,cluster0
204,2013,36,86.666667,95.918367,53.846154,cluster0
205,2013,60,75,81.632653,61.538462,cluster0
206,2013,60,96.666667,100,61.538462,cluster0
207,2013,48,55,59.183673,46.153846,cluster1
208,2013,32,21.666667,14.285714,38.461538,cluster2
209,2013,56,65,71.428571,76.923077,cluster1
210,2013,40,70,75.510204,46.153846,cluster1
211,2013,76,41.666667,42.857143,53.846154,cluster1
