@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Remove-R2-5,16-45-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C8-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-Lfirst-last-M_clustered-weka.filters.unsupervised.attribute.Remove-R1'

@attribute coorte {2010,2011,2012,2013}
@attribute ASD numeric
@attribute data_ASD {2011-06-15,2011-07-06,2012-01-18,2011-07-22,2011-09-21,2011-07-26,2013-02-19,2014-02-17,2012-09-18,2012-07-11,2012-09-21,2012-07-31,2012-06-19,2012-06-22,2013-07-11,2013-06-20,2013-09-19,2015-09-17,2013-06-21,2014-01-20,2013-07-26,2014-06-11,2014-06-12,2014-07-17,2014-09-12,2014-06-13,2014-07-09,2015-06-12,2015-01-16}
@attribute ARC numeric
@attribute data_ARC {2014-01-28,2012-09-20,2011-08-30,2012-09-24,2013-07-24,2012-07-30,2012-07-17,2012-02-19,2011-09-13,2013-06-12,2013-07-08,2012-06-18,2013-02-18,2013-01-18,2014-02-28,2014-07-24,2012-07-10,2016-02-12,2015-09-14,2013-09-19,2015-06-16,2015-07-14,2014-09-15,2016-01-28,2014-07-10,2014-06-12,2015-02-13,2015-01-29,2016-09-19,2017-02-24,2017-01-26,2016-07-18}
@attribute PRG numeric
@attribute data_PRG {2012-02-23,2011-09-23,2011-06-20,2011-07-11,2011-07-22,2013-09-23,2013-01-16,2012-07-25,2012-09-20,0000-00-00,2012-06-21,2012-07-10,2013-07-31,2014-02-04,2013-07-18,2013-06-20,2015-09-03,2013-09-13,2014-07-08,2014-02-25,2014-06-17,2014-09-03,2014-09-02,2016-02-22,2015-01-08,2014-07-29,2015-02-23,2015-09-24,2014-07-28,2016-02-29,2015-07-28,2014-09-04}
@attribute ANI numeric
@attribute data_ANI {2013-07-18,2011-07-26,2012-02-22,2012-03-16,2011-09-09,2012-06-22,2011-06-10,2013-01-22,2012-01-17,2012-07-31,2012-01-20,2013-09-19,2013-01-23,2012-09-17,2014-02-28,2012-02-24,2014-02-27,2013-07-01,2013-07-16,2012-07-27,2014-06-30,2013-02-07,2012-09-21,2015-01-14,2014-08-01,2014-07-14,2012-07-06,2013-03-11,2013-07-30,2014-07-28,2014-07-23,2013-03-08,2013-06-27,2014-09-05,2013-02-21,2014-10-07,2014-07-22,2014-07-31,2014-09-16,2014-01-24,2015-06-30,2015-07-14,2014-09-12,2015-09-22,2015-07-24,2015-06-26,2015-07-07,2014-06-10,2017-01-23,2016-06-21,2014-09-09,2016-09-12,2015-08-03,2016-07-01,2016-06-20,2017-02-27,2016-01-27,2016-07-13,2015-01-13}
@attribute MDL numeric
@attribute data_MDL {2012-09-13,2012-07-12,2011-07-07,2011-07-27,2013-09-11,2013-07-03,2012-02-27,2011-07-25,2011-07-05,2011-09-19,2011-07-26,2013-09-10,2014-01-13,2013-02-06,2013-07-04,2013-07-30,2012-06-14,2014-06-11,2013-09-12,2015-02-06,2014-09-11,2014-01-14,2012-08-01,2013-07-31,2015-07-09,2014-02-05,2013-06-12,2014-09-10,2015-01-21,2015-09-09,2015-02-05,2014-02-04,2015-01-22,2016-01-27,2014-07-02,2014-07-30,2016-08-02,2016-07-11,2016-02-08,2017-01-26,2015-10-05,2014-07-29,2014-07-03,2014-09-09,2014-06-13,2015-07-01,2014-07-01,2016-06-15,2016-07-04,2015-10-08,2016-09-28,2015-09-15,2015-10-07,2016-06-13,2016-09-27}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
2013,30,2014-06-11,25,2014-07-10,28,2014-06-17,31,2015-07-14,28,2014-07-30,cluster2
2013,24,2014-06-12,18,2015-02-13,23,2014-09-03,26,2015-09-22,25,2016-08-02,cluster2
2013,25,2014-06-11,18,2014-07-24,25,2015-01-08,31,2015-07-07,20,2015-09-09,cluster2
2013,27,2014-06-12,24,2014-09-15,28,2014-07-08,31,2015-07-14,20,2016-02-08,cluster1
2013,26,2014-06-12,23,2015-02-13,21,2014-09-03,26,2016-06-21,28,2017-01-26,cluster2
2013,26,2014-06-12,21,2016-01-28,26,2014-07-29,28,2015-07-14,18,2016-08-02,cluster1
2013,26,2014-07-17,23,2015-01-29,27,2014-09-03,25,2016-06-21,21,2016-01-27,cluster2
2013,25,2014-06-13,18,2014-09-15,26,2014-09-03,30,2016-09-12,27,2014-07-02,cluster2
2013,27,2014-06-11,27,2014-06-12,24,2014-09-03,28,2015-08-03,27,2015-10-05,cluster2
2013,30,2014-06-12,30,2015-01-29,27,2014-06-17,30,2015-07-07,21,2014-07-29,cluster2
2013,25,2014-07-17,23,2015-07-14,21,2015-09-24,28,2016-07-01,18,2015-01-22,cluster1
2013,28,2014-07-09,25,2015-01-29,26,2014-07-29,30,2015-07-14,22,2014-07-29,cluster1
2013,30,2014-06-13,26,2014-07-24,30,2014-09-03,31,2015-07-07,27,2014-09-09,cluster2
2013,31,2014-06-11,31,2014-06-12,28,2014-09-03,31,2015-07-14,31,2014-06-13,cluster2
2013,31,2014-07-17,31,2014-09-15,31,2014-06-17,31,2015-06-26,31,2014-07-01,cluster0
2013,28,2014-06-12,28,2014-07-24,26,2014-07-08,31,2015-07-14,23,2014-07-30,cluster2
2013,25,2014-07-17,19,2015-02-13,23,2015-01-08,30,2015-08-03,18,2014-09-11,cluster1
2013,22,2014-09-12,25,2015-09-14,30,2015-01-08,28,2015-07-07,25,2016-02-08,cluster2
2013,30,2014-07-17,26,2015-06-16,21,2015-01-08,28,2016-07-01,24,2014-07-29,cluster3
2013,26,2014-07-17,27,2015-02-13,25,2014-09-03,27,2014-09-09,25,2014-07-02,cluster2
2013,28,2014-06-11,23,2014-06-12,24,2014-09-03,31,2016-06-21,22,2015-02-05,cluster2
2013,30,2014-07-09,25,2014-07-10,25,2014-06-17,30,2016-06-20,24,2016-06-15,cluster2
2013,24,2014-06-12,23,2016-09-19,26,2014-07-28,30,2015-07-14,23,2016-07-04,cluster1
2013,23,2014-07-17,18,2015-07-14,24,2015-01-08,25,2016-01-27,23,2015-10-08,cluster1
2013,28,2014-06-13,27,2015-01-29,30,2014-09-03,31,2015-07-07,18,2015-02-06,cluster2
2013,27,2014-07-17,19,2014-09-15,28,2014-09-03,30,2015-07-14,20,2014-09-10,cluster1
2013,28,2014-06-13,18,2014-09-15,29,2014-07-28,29,2016-06-21,22,2014-07-01,cluster2
2013,26,2014-09-12,27,2015-09-14,31,2015-01-08,28,2015-07-07,27,2016-01-27,cluster2
2013,30,2015-06-12,31,2014-07-10,31,2014-09-03,28,2014-06-10,25,2015-07-09,cluster2
2013,27,2014-06-13,22,2014-09-15,29,2014-06-17,27,2015-07-07,19,2015-10-08,cluster2
2013,26,2014-09-12,21,2015-02-13,30,2015-01-08,27,2016-06-21,23,2014-09-09,cluster2
2013,25,2014-07-17,22,2015-01-29,18,2014-09-03,30,2015-07-14,23,2016-02-08,cluster1
2013,24,2015-01-16,28,2017-01-26,22,2015-09-03,21,2015-06-30,19,2016-09-28,cluster3
2013,21,2014-07-17,27,2015-02-13,25,2014-09-03,28,2016-06-21,26,2015-09-15,cluster2
2013,26,2014-07-17,28,2015-09-14,26,2014-07-28,30,2015-07-14,24,2014-09-09,cluster1
2013,31,2014-07-17,28,2014-07-24,28,2014-09-03,31,2015-07-07,28,2014-07-01,cluster2
2013,26,2014-06-13,20,2014-07-24,30,2014-07-28,30,2015-07-24,23,2015-10-07,cluster2
2013,23,2014-06-11,18,2014-07-24,26,2014-09-03,28,2015-06-26,26,2017-01-26,cluster2
2013,20,2014-06-11,20,2014-09-15,28,2014-09-03,31,2015-07-14,30,2015-10-05,cluster2
2013,27,2014-06-12,30,2016-09-19,25,2014-07-29,28,2015-07-07,23,2014-07-02,cluster2
2013,31,2014-06-13,26,2014-07-10,26,2014-09-03,30,2015-07-07,25,2015-02-05,cluster2
2013,30,2014-07-17,31,2015-06-16,26,2014-07-28,30,2016-06-21,25,2016-06-13,cluster0
2013,26,2014-06-11,25,2016-07-18,23,2015-02-23,23,2015-09-22,27,2016-09-27,cluster2
2013,27,2014-09-12,28,2015-02-13,26,2015-01-08,30,2014-06-10,24,2014-07-30,cluster0
