@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.Remove-R6-45-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst_clustered'

@attribute Instance_number numeric
@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
59,2011,68,98.333333,100,38.461538,cluster1
60,2011,48,98.333333,100,30.769231,cluster1
61,2011,64,98.333333,100,53.846154,cluster1
62,2011,68,90,100,30.769231,cluster1
63,2011,48,5,0,69.230769,cluster0
64,2011,72,11.666667,8.163265,30.769231,cluster0
65,2011,64,45,46.938776,46.153846,cluster0
66,2011,48,45,48.979592,53.846154,cluster0
67,2011,48,0,0,0,cluster2
68,2012,28,0,0,0,cluster2
69,2012,44,98.333333,100,61.538462,cluster1
70,2012,48,78.333333,85.714286,38.461538,cluster1
71,2012,52,81.666667,91.836735,53.846154,cluster1
72,2012,44,98.333333,100,53.846154,cluster1
73,2012,56,18.333333,16.326531,84.615385,cluster0
74,2012,84,98.333333,100,69.230769,cluster1
75,2012,64,98.333333,100,69.230769,cluster1
76,2012,64,90,100,61.538462,cluster1
77,2012,64,98.333333,100,61.538462,cluster1
78,2012,48,18.333333,16.326531,38.461538,cluster0
79,2012,56,98.333333,100,61.538462,cluster1
80,2012,36,0,0,0,cluster2
81,2012,72,13.333333,8.163265,76.923077,cluster0
82,2012,80,96.666667,100,61.538462,cluster1
83,2012,52,98.333333,100,53.846154,cluster1
84,2012,40,78.333333,85.714286,38.461538,cluster1
85,2012,64,11.666667,8.163265,38.461538,cluster0
86,2012,64,96.666667,100,38.461538,cluster1
87,2012,56,28.333333,24.489796,30.769231,cluster0
88,2012,52,98.333333,100,46.153846,cluster1
89,2012,48,98.333333,100,76.923077,cluster1
90,2012,40,0,0,0,cluster2
91,2012,80,71.666667,77.55102,61.538462,cluster1
92,2012,48,63.333333,71.428571,76.923077,cluster1
93,2012,44,20,16.326531,30.769231,cluster2
94,2012,76,98.333333,100,84.615385,cluster1
95,2012,48,43.333333,44.897959,38.461538,cluster0
96,2012,52,81.666667,89.795918,38.461538,cluster1
97,2012,68,98.333333,100,46.153846,cluster1
98,2012,52,98.333333,100,61.538462,cluster1
99,2012,64,98.333333,100,61.538462,cluster1
100,2012,96,98.333333,100,92.307692,cluster1
101,2012,60,98.333333,100,69.230769,cluster1
102,2012,64,16.666667,14.285714,53.846154,cluster0
103,2012,60,98.333333,100,46.153846,cluster1
104,2012,36,100,100,46.153846,cluster1
105,2012,44,0,0,0,cluster2
106,2012,52,98.333333,100,76.923077,cluster1
107,2012,48,98.333333,100,53.846154,cluster1
108,2012,84,11.666667,8.163265,53.846154,cluster0
109,2012,56,73.333333,79.591837,38.461538,cluster1
110,2012,40,56.666667,61.22449,38.461538,cluster0
111,2012,52,90,100,38.461538,cluster1
112,2012,44,98.333333,100,69.230769,cluster1
113,2012,64,88.333333,100,46.153846,cluster1
114,2012,72,98.333333,100,53.846154,cluster1
115,2012,52,86.666667,93.877551,30.769231,cluster1
116,2012,52,13.333333,8.163265,69.230769,cluster0
117,2012,52,98.333333,100,61.538462,cluster1
118,2012,72,25,14.285714,15.384615,cluster2
119,2012,64,71.666667,75.510204,38.461538,cluster1
120,2012,40,98.333333,100,61.538462,cluster1
121,2012,68,0,0,0,cluster2
122,2012,68,81.666667,89.795918,46.153846,cluster1
123,2012,64,98.333333,100,61.538462,cluster1
124,2012,24,0,0,0,cluster2
125,2012,60,98.333333,100,53.846154,cluster1
126,2012,32,98.333333,100,46.153846,cluster1
127,2013,76,98.333333,100,84.615385,cluster1
128,2013,60,81.666667,85.714286,61.538462,cluster1
129,2013,56,11.666667,6.122449,69.230769,cluster0
130,2013,72,55,59.183673,53.846154,cluster0
131,2013,68,73.333333,81.632653,76.923077,cluster1
132,2013,52,76.666667,85.714286,46.153846,cluster1
133,2013,52,36.666667,34.693878,30.769231,cluster0
134,2013,48,98.333333,100,61.538462,cluster1
135,2013,48,86.666667,95.918367,53.846154,cluster1
136,2013,68,71.666667,81.632653,38.461538,cluster1
137,2013,52,53.333333,57.142857,38.461538,cluster0
138,2013,68,70,79.591837,46.153846,cluster1
139,2013,40,6.666667,0,38.461538,cluster2
140,2013,72,65,71.428571,46.153846,cluster1
141,2013,60,51.666667,55.102041,53.846154,cluster0
142,2013,72,93.333333,95.918367,69.230769,cluster1
143,2013,28,0,0,0,cluster2
144,2013,52,81.666667,89.795918,61.538462,cluster1
145,2013,64,36.666667,36.734694,46.153846,cluster0
146,2013,60,25,22.44898,30.769231,cluster0
147,2013,52,0,0,0,cluster2
148,2013,36,51.666667,57.142857,38.461538,cluster0
149,2013,44,0,0,0,cluster2
150,2013,64,85,93.877551,69.230769,cluster1
151,2013,44,10,6.122449,30.769231,cluster2
152,2013,72,43.333333,44.897959,46.153846,cluster0
153,2013,64,56.666667,57.142857,46.153846,cluster0
154,2013,80,96.666667,100,69.230769,cluster1
155,2013,84,98.333333,100,92.307692,cluster1
156,2013,20,15,12.244898,23.076923,cluster2
157,2013,48,18.333333,14.285714,30.769231,cluster2
158,2013,16,5,0,15.384615,cluster2
159,2013,100,98.333333,100,100,cluster1
160,2013,72,96.666667,100,69.230769,cluster1
161,2013,60,75,83.673469,46.153846,cluster1
162,2013,44,80,89.795918,61.538462,cluster1
163,2013,56,70,75.510204,61.538462,cluster1
164,2013,60,6.666667,0,69.230769,cluster0
165,2013,52,51.666667,55.102041,46.153846,cluster0
166,2013,64,96.666667,100,69.230769,cluster1
167,2013,84,83.333333,85.714286,61.538462,cluster1
168,2013,32,20,16.326531,46.153846,cluster0
169,2013,60,0,0,0,cluster2
170,2013,72,45,46.938776,53.846154,cluster0
171,2013,36,8.333333,4.081633,15.384615,cluster2
172,2013,52,0,0,0,cluster2
173,2013,40,75,81.632653,46.153846,cluster1
174,2013,48,6.666667,0,0,cluster2
175,2013,36,41.666667,42.857143,38.461538,cluster0
176,2013,40,0,0,0,cluster2
177,2013,32,66.666667,71.428571,38.461538,cluster1
178,2013,44,81.666667,89.795918,61.538462,cluster1
179,2013,68,98.333333,100,53.846154,cluster1
180,2013,80,93.333333,95.918367,53.846154,cluster1
181,2013,72,81.666667,89.795918,61.538462,cluster1
182,2013,76,51.666667,55.102041,92.307692,cluster0
183,2013,48,0,0,0,cluster2
184,2013,48,6.666667,0,69.230769,cluster0
185,2013,96,33.333333,34.693878,46.153846,cluster0
186,2013,60,81.666667,89.795918,53.846154,cluster1
187,2013,48,25,22.44898,38.461538,cluster0
188,2013,72,38.333333,38.77551,53.846154,cluster0
189,2013,52,0,0,0,cluster2
190,2013,56,0,0,0,cluster2
191,2013,48,75,83.673469,53.846154,cluster1
192,2013,52,63.333333,69.387755,38.461538,cluster1
193,2013,32,16.666667,12.244898,23.076923,cluster2
194,2013,24,6.666667,0,23.076923,cluster2
195,2013,48,56.666667,63.265306,46.153846,cluster1
196,2013,84,5,0,46.153846,cluster0
197,2013,48,5,0,53.846154,cluster0
198,2013,44,30,28.571429,38.461538,cluster0
199,2013,84,86.666667,95.918367,53.846154,cluster1
200,2013,96,98.333333,100,84.615385,cluster1
201,2013,64,35,34.693878,53.846154,cluster0
202,2013,80,50,53.061224,46.153846,cluster0
203,2013,68,81.666667,89.795918,53.846154,cluster1
204,2013,36,86.666667,95.918367,53.846154,cluster1
205,2013,60,75,81.632653,61.538462,cluster1
206,2013,60,96.666667,100,61.538462,cluster1
207,2013,48,55,59.183673,46.153846,cluster0
208,2013,32,21.666667,14.285714,38.461538,cluster2
209,2013,56,65,71.428571,76.923077,cluster1
210,2013,40,70,75.510204,46.153846,cluster1
211,2013,76,41.666667,42.857143,53.846154,cluster0
